Texas,706.50,,,,,
California,358.60,,,,,
Florida,226.60,,,,,
Louisiana,226.40,,,,,
Pennsylvania,215.30,,,,,
Ohio,204.30,,,,,
Illinois,201.10,,,,,
Indiana,175.80,,,,,
New York,156.70,,,,,
Michigan,151.80,,,,,
Georgia,131.90,,,,,
Missouri,122.40,,,,,
North Carolina,115.00,,,,,
Kentucky,113.60,,,,,
Alabama,108.30,,,,,
New Jersey,101.00,,,,,
Virginia,97.90,,,,,
Tennessee,97.60,,,,,
Wisconsin,97.60,,,,,
Oklahoma,92.70,,,,,
West Virginia,90.80,,,,,
Minnesota,87.90,,,,,
Colorado,87.00,,,,,
Arizona,85.60,,,,,
Washington,78.20,,,,,
Iowa,76.30,,,,,
South Carolina,68.80,,,,,
Mississippi,67.40,,,,,
Arkansas,63.90,,,,,
Massachusetts,63.30,,,,,
Wyoming,60.60,,,,,
Kansas,57.90,,,,,
Utah,58.20,,,,,
North Dakota,56.20,,,,,
Nebraska,51.60,,,,,
New Mexico,47.70,,,,,
Oregon,38.30,,,,,
Nevada,36.20,,,,,
Alaska,34.10,,,,,
Connecticut,33.40,,,,,
Montana,30.30,,,,,
Idaho,19.80,,,,,
Hawaii,18.40,,,,,
Maine,17.60,,,,,
South Dakota,15.40,,,,,
New Hampshire,14.50,,,,,
Delaware,13.40,,,,,
Rhode Island,12.30,,,,,
Vermont,10.00,,,,,
District of Columbia,2.60,,,,,
